size,distribution,insertion_sort,merge_sort,quick_sort,selection_sort
100,random,2609.0253,10302.4758,4791.7434,9965.3765
100,reverse_sorted,4499.64,8644.08,4695.64,9177.67
100,sorted,186.4,8777.7,4738.86,8994.11
1000,random,182115.7068,104816.618,50620.2033,1021614.984
1000,reverse_sorted,358798.93,72759.99,35977.45,1026027.91
1000,sorted,1083.61,72008.45,32273.15,1014171.05
10000,random,16988798.5332,1158852.3858,606880.0055,100994945.0997
10000,reverse_sorted,33799282.13,736813.28,390072.82,101862366.09
10000,sorted,10967.34,746112.97,367935.34,100783532.71
100000,random,1688528323.489,12917520.8589,7213715.2805,
100000,reverse_sorted,,7723883.43,4371059.41,
100000,sorted,102258.95,7825464.84,4068878.43,
1000000,random,,145679009.5758,84526543.3908,
1000000,reverse_sorted,,83670726.81,49014308.24,
1000000,sorted,1028272.07,84975866.52,45961161.59,
